FollowerID,FollowedID
03250,54568
50559,48063
05068,28175
19922,63896
10587,87887
12545,95340
30561,87711
90797,62658
95698,15925
66261,51372
96949,56785
69396,93234
45072,44412
17356,33464
47842,58561
56920,04013
94958,73081
51175,22866
80855,56531
20055,53265
65716,10588
02008,13998
40515,51453
11628,49764
60034,31030
38661,15925
36634,54474
46881,09980
23478,66527
60877,25312
62589,97938
58415,61988
18553,94524
75242,49272
48250,84126
52908,40047
82020,91530
17025,43680
67743,81975
41105,37292
90902,40776
59440,25960
90930,04203
85607,06577
32076,65490
74160,00777
14004,28289
20716,53831
09949,21000
61064,63271
46159,46649
85440,51453
61450,10915
23629,69183
52385,72882
26346,39342
08880,31220
80000,49159
93628,70407
15177,27020
05172,51453
62098,14193
28066,31566
04244,98390
50355,07180
47995,74894
62607,20399
27873,85375
91088,42094
32964,59674
11208,13998
35782,39757
38990,86305
59625,85896
69661,20400
33875,18325
07334,10346
56574,33676
38827,16144
46185,94844
63689,47850
91721,74201
92876,43481
92296,53864
01412,52530
79000,19807
96215,63271
81646,14103
88349,98390
97691,70535
97970,69391
01923,14946
60552,93902
65997,84792
15076,75322
89709,39860
69016,68370
59536,94995
16485,59493
84949,97027
13065,03641
99115,97944
55446,65111
21748,55673
28372,34280
25299,97278
76220,95685
49039,78020
02221,29642
40209,50134
16353,65490
86242,99823
54556,40266
46739,79415
56189,51453
44347,10941
23024,45598
49382,17786
78681,16019
57617,37929
87715,64543
57843,59440
93608,58295
13254,99317
13801,09999
02249,57722
54181,10915
99746,71312
72067,10708
58701,50215
04390,63271
55494,20287
60013,51453
15179,19429
62048,95340
46452,96777
61341,40695
85749,65915
98547,38815
49676,73949
67093,27537
87562,26207
54647,63271
00556,89683
54635,03340
03547,15269
49615,81419
68742,78460
79356,31257
22301,95991
56821,23065
51698,19231
85701,38446
07042,76449
76383,42630
84608,38441
96840,17222
41747,51453
57836,21895
94642,76416
66635,11019
76253,74201
83143,91480
73190,15925
42430,19810
12545,02640
01569,59070
78454,15210
81855,66184
10587,54035
03417,70494
17247,98390
84332,59293
47590,18587
86695,89410
38827,19256
32158,68870
50009,72882
87690,05751
11057,94003
83178,02472
76659,85151
14706,45624
78840,11804
18683,27355
23668,10432
65292,81960
27390,38441
64870,75755
54537,08410
82889,08559
91528,41644
41096,59440
59578,77078
23551,29258
23427,63271
83672,56501
04262,10941
45310,99088
63975,99271
79362,51453
20721,51453
33242,92735
25585,56400
71123,02463
67662,72331
28389,85144
15210,89513
03998,32222
28882,09036
92158,94531
34844,26562
26337,95340
46108,66223
86640,28664
99073,77136
57637,51131
52768,92180
32734,17179
91482,82264
95529,27148
51904,10915
77691,30749
27130,95464
64443,43299
58980,42191
99282,26469
41837,58447
80356,38133
26383,53265
49508,89410
08814,44539
04545,95836
33070,54568
38327,56086
85779,95340
70446,34762
04057,10941
42465,42630
24437,35502
09906,20569
49171,37215
41180,11706
41826,64543
95464,32312
61517,53389
42266,89513
74222,07719
37031,55721
69979,20961
74171,27020
80452,95340
89364,08528
85907,41976
57527,31294
42092,19769
06803,76688
65891,04811
35852,41869
16296,44713
79505,32216
50637,22776
02869,27693
85568,74184
76126,98422
61020,27693
53132,03645
70787,91676
05281,33320
02228,08109
12790,79590
54735,68601
35874,31201
45798,39274
73640,73106
65225,57105
51968,29217
60008,49709
85196,96650
16061,81750
81823,10915
29477,05076
01456,13844
42485,84351
96421,43415
22274,09787
96383,90009
48921,78217
71297,98527
91660,85375
33912,87452
05862,10915
39860,08559
